id,name,code,lon,lat
2,3900-SAN GABRIEL-PLAZA BOTELLA,3900,38.328278276,-0.511071549
3,3901-VERGEL,3901,38.330180071,-0.5098282240000001
4,3902-ESCOLANO-PEGO,3902,38.330066357,-0.5116852119999999
5,3903-ESCOLANO-LOS CINCUENTA,3903,38.329605882,-0.512913485
6,3904-DÍAZ DE MENDOZA,3904,38.328099915,-0.514978195
7,3905-LA CIGÜEÑA,3905,38.326143586,-0.515777119
8,3906-SEMPERE-BLUME,3906,38.327232658,-0.517421345
9,3500-SEMPERE-PASTOR,3500,38.329000476,-0.5158053070000001
10,3907-SEMPERE-LA ERA,3907,38.330287911,-0.514056913
11,3908-C.P. EL PALMERAL,3908,38.331384029,-0.512635297
12,3909-ECUADOR,3909,38.332259709,-0.509745532
13,3910-PERÚ,3910,38.333269152,-0.5080636790000001
14,3961-MÉXICO-ROTONDA,3961,38.33502102,-0.507397309
15,3122-MÉXICO-CAJA AHORROS,3122,38.338438346,-0.507932175
16,3123-IES CAVANILLES,3123,38.339010705,-0.506882923
17,3911-CFPA BABEL,3911,38.339164953,-0.503971803
18,3124-SOLER-JUZGADOS,3124,38.339392623,-0.501126788
19,3912-C.P. BENALÚA,3912,38.339615,-0.498085
20,3126-Ó. ESPLÁ-SEMPERE,3126,38.340516504,-0.49363395
21,4446-CAPUCHINOS,4446,38.341516982,-0.4921757999999999
22,3127-ALEMANIA,3127,38.342574725,-0.489816809
23,2603-MUNTANYETA-SOTO,2603,38.344173157,-0.489143761
24,4046-LUCEROS-SOTO,4046,38.345500506,-0.490116151
25,3129-MERCADO-EL SABIO,3129,38.347237014,-0.487058471
26,3400-MERCADO-SAN VICENTE,3400,38.348827824,-0.484772289
28,3916-JIJONA-AUDITORIO,3916,38.354659912,-0.485302623
29,3001-JIJONA-ADORATRICES,3001,38.356567707,-0.48519078
30,3917-ALONSO-DEVESA,3917,38.360066927,-0.48366202
31,3003-HOSPITAL-ALONSO,3003,38.363428816,-0.484129136
32,3004-ALONSO-ALCOLEJA,3004,38.366731202,-0.485182023
33,3005-MAESTRE ALONSO (TRAM),3005,38.368272629,-0.485632188
34,3006-C.P. VIRGEN DEL REMEDIO,3006,38.3707551,-0.486267234
35,3918-PLAZA ORÁN,3918,38.37133984,-0.484965102
36,3919-C. SOCIAL VIRGEN DEL CARMEN,3919,38.370338696,-0.483660711
37,3960-EJÉRCITOS ESPAÑOLES,3960,38.369702357,-0.482561157
38,4410-C.P. EL TOSSALET,4410,38.370894176,-0.480162091
39,3921-CARRATALÁ-TOSSALET,3921,38.370388699,-0.478027949
40,3975-CARRATALÁ-ELS POBLETS,3975,38.36996385,-0.4754561190000001
41,3976-LOS MONTESINOS,3976,38.368544112,-0.472712956
42,3923-PINTOR AMORÓS,3923,38.370562979,-0.471486686
43,3924-PINTOR CAMACHO,3924,38.372485591,-0.474567207
44,3925-C.P. SAN AGUSTÍN,3925,38.371892711,-0.4742330320000001
45,3926-CIUDAD ELEGIDA,3926,38.372258148,-0.473213112
46,3927-C.P. SAN AGUSTÍN,3927,38.372010745,-0.4742747050000001
47,3928-PINTOR CAMACHO,3928,38.372428856,-0.4744432810000001
48,3929-PINTOR AMORÓS,3929,38.370548429,-0.471647426
49,3930-CARRATALÁ-ELS POBLETS,3930,38.369966071,-0.473888063
50,3931-CARRATALÁ-TOSSALET,3931,38.370452217,-0.4780486319999999
51,3932-C.P. EL TOSSALET,3932,38.370516865,-0.480633
52,3933-SIERRA DE PANDOLS,3933,38.370836767,-0.481262828
53,3934-STA. CRUZ-BANYERES,3934,38.371679711,-0.482332329
54,3957-C. SOCIAL VIRGEN DEL CARMEN,3957,38.370374711,-0.483659462
55,4428-C. DEPORTIVO V. DEL CARMEN,4428,38.368424273,-0.483463854
56,4429-ESPARTERO,4429,38.365877627,-0.48319737
57,3038-HOSPITAL-ALONSO,3038,38.363854039,-0.4846293850000001
58,3039-ALONSO-DEVESA,3039,38.35981851,-0.483842283
59,3040-JIJONA-ADORATRICES,3040,38.356466784,-0.485526122
61,2946-MERCADO-CALDERÓN,2946,38.349033184,-0.485943682
62,3937-MERCADO-EL SABIO,3937,38.347588575,-0.486645853
63,3938-LUCEROS,3938,38.345677762,-0.490819385
64,3939-MUNTANYETA-SOTO,3939,38.343925955,-0.489381125
65,4118-ESTACIÓN-MAISONNAVE,4118,38.343357325,-0.493542384
66,3102-Ó. ESPLÁ-FOGLIETTI,3102,38.341064596,-0.494193511
67,3103-SOLER-POLICÍA,3103,38.339892239,-0.494989008
68,3942-C.P. BENALÚA,3942,38.339779992,-0.496903416
69,3943-SOLER-ALBEROLA,3943,38.339657488,-0.4987609700000001
70,3104-SOLER-JUZGADOS,3104,38.339555667,-0.501166942
71,3944-CFPA BABEL,3944,38.33937473,-0.504513731
72,3105-IES CAVANILLES,3105,38.339226311,-0.5068526450000001
73,3945-MÉXICO-CAJA AHORROS,3945,38.338407438,-0.508173479
74,3502-IES BAHÍA DE BABEL,3502,38.334256385,-0.50957416
75,3528-POLIDEPORTIVO SAMARANCH,3528,38.332865842,-0.511131794
76,3949-C.P. EL PALMERAL,3949,38.331317824,-0.512912099
77,3950-SEMPERE-LA ERA,3950,38.33019566,-0.514380356
78,3525-SEMPERE-PASTOR,3525,38.329093908,-0.515962256
79,3951-SEMPERE-BLUME,3951,38.327448509,-0.517402535
