hoguera,category,lat,lon
HOGUERA POLÍGONO DE SAN BLAS,CATEGORÍA ESPECIAL,38.3555169,-0.4981679
HOGUERA CAROLINAS ALTAS,CATEGORÍA ESPECIAL,38.3594361,-0.482792
HOGUERA SAGRADA FAMILIA,CATEGORÍA ESPECIAL,38.3577628,-0.4770797
HOGUERA HERNÁN CORTÉS,CATEGORÍA ESPECIAL,38.3447778,-0.4884638
HOGUERA SÉNECA AUTOBUSOS,CATEGORÍA ESPECIAL,38.3414788,-0.4906362
HOGUERA DIPUTACIÓ-RENFE,CATEGORÍA ESPECIAL,38.3453741,-0.4927503
HOGUERA LA CERÀMICA,CATEGORÍA ESPECIAL,38.3629893,-0.4897967
HOGUERA FLORIDA PLAZA LA VIÑA,CATEGORÍA ESPECIAL,38.3431727,-0.5089048
HOGUERA FLORIDA PORTAZGO,CATEGORÍA ESPECIAL,38.3471237,-0.5091012
HOGUERA BAVER-ELS ANTIGONS,CATEGORÍA ESPECIAL,38.3368302,-0.5039781
HOGUERA FOGUERER-CAROLINAS,PRIMERA CATEGORÍA,38.3600399,-0.4790195
HOGUERA ALFONSO EL SABIO,PRIMERA CATEGORÍA,38.3467935,-0.4887091
HOGUERA CALVO SOTELO,PRIMERA CATEGORÍA,38.3433382,-0.4884786
HOGUERA MERCADO CENTRAL,PRIMERA CATEGORÍA,38.3476897,-0.4864325
HOGUERA EXPLANADA,PRIMERA CATEGORÍA,38.3442807,-0.4805146
HOGUERA LA CONDOMINA,PRIMERA CATEGORÍA,38.3654102,-0.4308542
HOGUERA PORT D'ALACANT,PRIMERA CATEGORÍA,38.3434078,-0.4803484
HOGUERA PARQUE DE LAS AVENIDAS,SEGUNDA CATEGORÍA,38.3636102,-0.4733665
HOGUERA AVENIDA LORING-ESTACIÓN,SEGUNDA CATEGORÍA,38.338739,-0.4934012
HOGUERA PLAZA RUPERTO CHAPÍ,SEGUNDA CATEGORÍA,38.3462292,-0.4851086
HOGUERA ÁNGELES FELIPE BERGÉ,SEGUNDA CATEGORÍA,38.3646996,-0.4929329
HOGUERA CIUDAD DE ASÍS,SEGUNDA CATEGORÍA,38.3475251,-0.5132847
HOGUERA SANT BLAI LA TORRETA,SEGUNDA CATEGORÍA,38.3575216,-0.5039126
HOGUERA PLAZA DE SANTA MARÍA,SEGUNDA CATEGORÍA,38.3454527,-0.4804811
HOGUERA JOSÉ ÁNGEL GUIRAO,SEGUNDA CATEGORÍA,38.363198,-0.4672412
HOGUERA BENITO PÉREZ GALDÓS,TERCERA CATEGORÍA,38.3491747,-0.4892917
HOGUERA DON BOSCO,TERCERA CATEGORÍA,38.3527283,-0.5102467
HOGUERA DOCTOR BERGEZ-CAROLINAS,TERCERA CATEGORÍA,38.3567658,-0.4798615
HOGUERA PARQUE PLAZA GALICIA,TERCERA CATEGORÍA,38.339119,-0.4898688
HOGUERA SAN FERNANDO,TERCERA CATEGORÍA,38.3504169,-0.486389
HOGUERA SANTA ISABEL,TERCERA CATEGORÍA,38.351781,-0.4874107
HOGUERA LA FLORIDA,TERCERA CATEGORÍA,38.3425654,-0.5119296
HOGUERA FLORIDA SUR,TERCERA CATEGORÍA,38.3423972,-0.514621
HOGUERA SAN BLAS BAJO,TERCERA CATEGORÍA,38.3474567,-0.4994851
