title,topic,author,link
Los ayuntamientos proponen multas de 200 euros a los conductores que incumplan las Zonas de Bajas Emisiones,Alicante,C. Pascual,https://www.informacion.es/alicante/2023/03/09/ayuntamientos-proponen-multas-zona-bajas-emisiones-84396017.html
El turismo alemán crecerá un 50% con 2.000 vuelos que traerán 365.000 viajeros a la Costa Blanca,Alicante,J. A. Martínez,https://www.informacion.es/alicante/2023/03/09/patronato-turismo-anuncia-2-000-84362414.html
Iceta: “Mientras los técnicos desaconsejen el traslado de la Dama de Elche este ministro no lo va a hacer”,Cultura,Cristina Martínez,https://www.informacion.es/cultura/2023/03/09/iceta-tecnicos-desaconsejen-traslado-dama-84359492.html
Nuevo tirón de orejas del Síndic a Igualdad por negar la renta de inclusión reuniendo los requisitos,Política,Borja Campoy,https://www.informacion.es/politica/2023/03/09/sindic-denuncia-igualdad-desoye-recomendaciones-84371531.html
Banco Sabadell refuerza la apuesta por su centro tecnológico de Alicante con un consejo de sabios,Economía,M. Vilaplana,https://www.informacion.es/economia/2023/03/09/banco-sabadell-refuerza-apuesta-centro-84405661.html
Un recurso bloquea el plan de la CHS para usar parte de la Vega Baja como desagüe del Segura,Vega Baja,D. Pamies,https://www.informacion.es/vega-baja/2023/03/09/recurso-bloquea-plan-chs-parte-84396300.html
Ser taxista en Alicante puede costar 130.000€,Alicante,Alejandro J. Fuentes,https://www.informacion.es/alicante/2023/03/09/licencias-taxi-disparan-usuarios-piden-84375524.html
Frenar el acoso escolar: Elche quiere que los padres también se sensibilicen,Elche,J. R. Esquinas,https://www.informacion.es/elche/2023/03/09/frenar-acoso-escolar-elche-quiere-84370222.html
El castillo festero de Alcoy empieza a dejarse ver,Alcoy,Antonio Teruel,https://www.informacion.es/alcoy/2023/03/09/castillo-festero-alcoy-empieza-dejarse-84394782.html
La Biblioteca Virtual Miguel de Cervantes acerca la obra de Hernández y Machado al mundo,Cultura,África Prado,https://www.informacion.es/cultura/2023/03/09/biblioteca-virtual-miguel-cervantes-acerca-84388751.html
Uno de los fallecidos en la mina de Súria era de Almoradí,Vega Baja,Loreto Mármol,https://www.informacion.es/vega-baja/2023/03/09/fallecidos-mina-suria-almoradi-84404589.html
"Mario Picazo lanza una ""bomba"" en su última predicción del tiempo: ""Llega al sudeste peninsular""",Sociedad,Esteban Joaquín Mojica,https://www.informacion.es/sociedad/2023/03/09/mario-picazo-lanza-bomba-dv-84389102.html
"“Nos educan para prevenir embarazos, pero no nos explican lo que implica retrasar la maternidad”",,,https://www.informacion.es/sociedad/2023/03/07/educan-prevenir-embarazos-explican-implica-84237432.html
El Consell ultima un acuerdo con los supermercados para frenar el impacto de los precios en la cesta de la compra,Política,Borja Campoy,https://www.informacion.es/politica/2023/03/09/puig-anuncia-acuerdo-supermercados-frenar-84377352.html
Andrés Navarro dimite como secretario general del PSOE de Torrevieja,Vega Baja,D. Pamies,https://www.informacion.es/vega-baja/2023/03/09/andres-navarro-dimite-secretario-general-torrevieja-84404449.html
Condenado en Alicante a seis años de cárcel por abusar de la nieta de su pareja durante 7 años,Tribunales,P. Cerrada,https://www.informacion.es/sucesos/tribunales/2023/03/09/condenado-alicante-seis-anos-carcel-84398320.html
Espectacular imagen de varios delfines saltando sobre el mar frente a la playa de Benidorm,Benidorm,Aitor Soler,https://www.informacion.es/benidorm/2023/03/09/espectacular-imagen-delfines-saltando-mar-84403048.html
Por qué 9 de cada 10 personas que padecen un TCA como la bulimia o la anorexia son mujeres,,Xavi Pareja,https://www.informacion.es/alicante/2023/03/08/personas-mujeres-padecen-tca-84174415.html
Tamames y su postura sobre el aborto se cuelan en la Asamblea como nueva bala de Ayuso contra Vox,Nacional,Elena Marín,https://www.informacion.es/nacional/2023/03/09/tamames-postura-aborto-cuelan-asamblea-84402814.html
Dos detenidos acusados de cuatro homicidios por tirar al mar a varios inmigrantes desde una lancha en Ceuta,Nacional,EFE,https://www.informacion.es/nacional/2023/03/09/detenidos-acusados-cuatro-homicidios-tirar-84400603.html
