link,price,name,location,features,description,store,city,rooms,wc,area
https://www.pisos.com/comprar/casa_adosada-aigues_centro_urbano-32585672092_511898/,115.0,"Casa adosada en calle Praticant, Juan Saval",Aigües,"['2 habs.', '2 baños', '84 m²']",Servicios inmobiliarios el campello les ofrece esta casa adosada bien presentada ubicada cerca del pueblo de aguas de busot (aigue...,https://www.pisos.com/microsite-servicios_inmobiliarios_el_campello_xx/,Aigues,2,2,84
https://www.pisos.com/comprar/apartamento-aigues_centro_urbano-27596473909_106700/,148.0,Apartamento en Aigües,Aigües,"['3 habs.', '2 baños', '105 m²']","Apartamento con gran solárium en el centro del encantador pueblo de aigues. Pueblo con un magnífico bosque con mucha tranquilidad,...",https://www.pisos.com/microsite-inmobiliaria_2000_522624_0/,Aigues,3,2,105
https://www.pisos.com/comprar/casa-aigues_centro_urbano-19235736236_512463/,196.999,Casa en Aigües,Aigües,"['3 habs.', '3 baños', '186 m²']",Bonito chalet reformado con terreno en la montaña con parcela rústica de 1.351m². Vivienda de tres dormitorios (uno de ellos con a...,https://www.pisos.com/microsite-alcaraz_inmobiliaria/,Aigues,3,3,186
https://www.pisos.com/comprar/casa-aigues_centro_urbano-12519297191_106700/,110.0,Casa en Aigües,Aigües,"['5 habs.', '2 baños', '205 m²']",Casa de pueblo en zona centrica. Dos plantas con muchas posibilidades de redistribución. Ubicado en pueblo de montaña a 15 minutos...,https://www.pisos.com/microsite-inmobiliaria_2000_522624_0/,Aigues,5,2,205
https://www.pisos.com/comprar/casa-aigues_centro_urbano-12564838095_106700/,65.0,Casa en Aigües,Aigües,"['2 habs.', '1 baño', '84 m²']","Preciosa casa de pueblo de dos plantas. Situada en el casco antiguo de un encantador pueblo de montaña. Ideal inversores 
#ref:003...",https://www.pisos.com/microsite-inmobiliaria_2000_522624_0/,Aigues,2,1,84
https://www.pisos.com/comprar/chalet-aigues_centro_urbano-12576733467_106700/,1100.0,Chalet en Aigües,Aigües,"['6 habs.', '3 baños', '447 m²']",Impresionante chalet situado en una de las zonas más prestigiosas del campello. La propiedad tiene excepcionales vistas abiertas a...,https://www.pisos.com/microsite-inmobiliaria_2000_522624_0/,Aigues,6,3,447
https://www.pisos.com/comprar/casa_adosada-aigues_centro_urbano-25020361931_101800/,180.0,Casa adosada en Carrer de Font del Bany,Aigües,"['3 habs.', '2 baños', '150 m²']","Bonito reformado y luminoso adosado con vistas al mar y completamente reformado, distribuido en una primera planta con un jardín e...",https://www.pisos.com/microsite-inmobeach_alicante/,Aigues,3,2,150
https://www.pisos.com/comprar/chalet-aigues_centro_urbano-17569443575_109300/,220.0,Chalet en Aigües,Aigües,"['4 habs.', '3 baños', '120 m²']","Ubicado en el residencial sierra marina de aigües y a diez km del encantador pueblo y playas de el campello, se encuentra este mar...",,Aigues,4,3,120
https://www.pisos.com/comprar/chalet-aigues_centro_urbano-18389071511_108500/,1110.0,Chalet en Aigües,Aigües,"['5 habs.', '5 baños', '280 m²']","Casas estilo moderno y coqueto ,consta de 4 dormitorios y cuatro baños,vistas espectaculares al mar . Apartamento independiente co...",,Aigues,5,5,280
https://www.pisos.com/comprar/apartamento-aigues_centro_urbano-12593384536_106700/,110.0,Apartamento en Aigües,Aigües,"['2 habs.', '1 baño', '77 m²']",Bonito apartamento con una amplia terraza y magnificas vistas al mar y a las montañas. En perfecto estado. Zona tranquila a 10 min...,https://www.pisos.com/microsite-inmobiliaria_2000_522624_0/,Aigues,2,1,77
https://www.pisos.com/comprar/chalet-aigues_centro_urbano-28379261336_994580/,895.0,Chalet en Aigües,Aigües,"['3 habs.', '2 baños', '320 m²']","Espectacular finca a un paso del mar
Os presentamos una espectacular finca de dos plantas y magnificas vistas, de aproximadamente ...",https://www.pisos.com/microsite-engel_and_volkers_alicante_994580_0/,Aigues,3,2,320
https://www.pisos.com/comprar/chalet-aigues_centro_urbano-26668360485_106700/,459.0,Chalet en Aigües,Aigües,"['4 habs.', '3 baños', '250 m²']",Grandisimo chalet en urbanización de busot. Amplia terraza con unas vistas preciosas a alicante y la montaña. A unos 10 minutos de...,https://www.pisos.com/microsite-inmobiliaria_2000_522624_0/,Aigues,4,3,250
https://www.pisos.com/comprar/chalet-aigues_centro_urbano-30840643494_109300/,450.0,Chalet en Aigües,Aigües,['7 habs.'],"""masia a confrides, costa blanca. Tres viviendas 522 m² y 36,000 m² de terreno en medio de la naturalezaocasión única para un grup...",,Aigues,7,0,0
https://www.pisos.com/comprar/chalet-aigues_centro_urbano-30909359457_109300/,71.0,"Chalet en Plaza de la Iglesia, 20",Aigües,"['3 habs.', '1 baño', '135 m²']","Casa de uso residencial en dos plantas, construida en 1910 en pleno centro de aigües.aigües es un municipio de la comarca de l''al...",,Aigues,3,1,135
https://www.pisos.com/comprar/chalet-platja_muchavista-945856909371843_109700/,950.0,Chalet en Playa Muchavista,Platja Muchavista (El Campello),"['4 habs.', '3 baños', '340 m²']","Exclusivo Chalet independiente próximo al mar, 750m de la playa muchavista en la zona nueva del pau 5, próximo al golf

Parcela de 1.000 m² 
2 Plantas 
4 habitaciones 
3 baños 
Terraza 
Garaje 
Trastero 
Armarios empotrados  
Construido en 2015 
Aire acondicionado 
Piscina 
Jardín",https://www.pisos.comhttps://www.pisos.com/inmobiliaria-inmo_campello/,El Campello,4,3,340
