number,name,link
01,San Gabriel-ciudad Elegida,https://alicante.vectalia.es/linea/linea-01-san-gabriel-ciudad-elegida/
02,la Florida-sagrada Familia,https://alicante.vectalia.es/linea/linea-02-la-florida-sagrada-familia/
03,Ciudad de Asís-colonia Requena,https://alicante.vectalia.es/linea/linea-03-ciudad-de-asis-colonia-requena/
04,Cementerio-tómbola,https://alicante.vectalia.es/linea/linea-04-cementerio-barrio-tombola/
05,Rambla-san Agustín,https://alicante.vectalia.es/linea/linea-05-explanada-san-agustin/
06,Estación Autobuses-juan Xxiii (2º S),https://alicante.vectalia.es/linea/linea-06-estacion-de-autobuses-juan-xxiii-2o-sector/
07,Av.óscar Esplá-el Rebolledo,https://alicante.vectalia.es/linea/linea-07-avda-oscar-espla-el-rebolledo/
07P,Av.óscar Esplá-polígonos,https://alicante.vectalia.es/linea/07p-estacion-oscar-espla-poligonos/
08,Rambla-virgen Del Remedio,https://alicante.vectalia.es/linea/linea-08a-explanada-virgen-del-remedio/
09,óscar Esplá-playa San Juan,https://alicante.vectalia.es/linea/linea-09-avda-oscar-espla-playa-san-juan-avda-de-las-naciones/
10,Rambla-via Parque (C.C. Vistahermosa),https://alicante.vectalia.es/linea/linea-10-explanada-gran-via-via-parque-c-c-vistahermosa/
11,Virgen Remedio-av. Denia,https://alicante.vectalia.es/linea/linea-11virgen-del-remedio-avda-denia-jesuitas/
11H,Juan Xxiii-av. Denia-hospital Sant Joan,https://alicante.vectalia.es/linea/linea-11h-virgen-del-remedio-hospital-de-sant-joan/
12,Puerta Del Mar-san Blas-juan Pablo II,https://alicante.vectalia.es/linea/linea-12plaza-de-los-luceros-santo-domingo-san-blas-pau-i/
13,Rambla-villafranqueza,https://alicante.vectalia.es/linea/linea-13-explanada-virgen-del-remedio-villafranqueza/
14,Plaza la Viña-denia (jesuitas),https://alicante.vectalia.es/linea/linea14-plaza-la-vina-denida-jesuitas/
21,Alicante-playa San Juan-el Campello,https://alicante.vectalia.es/linea/linea-21-alicante-playa-san-juan-el-campello/
22,Av.óscar Esplá-playa San Juan,https://alicante.vectalia.es/linea/22-alicante-cabo-de-la-huerta-playa-san-juan-3/
23,Alicante-hospital de Sant Joan-sant Joan-mutxamel,https://alicante.vectalia.es/linea/linea-23-alicante-hospital-de-sant-joan-sant-joan-mutxamel/
24,Alicante (E. Autobuses)-universidad de Alicante-san Vicente Del Raspeig,https://alicante.vectalia.es/linea/linea-24-alicantee-autobuses-universidad-de-alicante-san-vicente-del-raspeig/
26,Villafranqueza-tángel,https://alicante.vectalia.es/linea/linea-26-alicante-villafranqueza-tangel/
27,Alicante (luceros)-urbanova,https://alicante.vectalia.es/linea/27-alicante-urbanova/
28,H.san Juan-camino Del Faro,https://alicante.vectalia.es/linea/linea28-h-san-juan-camino-del-faro/
30,San Vicente Del Raspeig -La Alcoraya,https://alicante.vectalia.es/linea/linea-30-san-vicente-del-raspeig-la-alcoraya/
35,Hospital Sant Joan-tángel,https://alicante.vectalia.es/linea/linea-35-alicante-les-paulines-mutxamel/
38,Playa San Juan-hospital de Sant Joan-universidad,https://alicante.vectalia.es/linea/38-playa-san-juan-hospital-sant-joan-universidad-3/
39,Rambla-centro Tecnificación,https://alicante.vectalia.es/linea/39-explanada-centro-de-tecnificacion/
C-51,Mutxamel-busot,https://alicante.vectalia.es/linea/linea-c-51mutxamel-busot/
C-52,Busot-el Campello,https://alicante.vectalia.es/linea/linea-c-52busot-el-campello/
C-53,Hospital de Sant Joan-el Campello,https://alicante.vectalia.es/linea/c-53-hospital-sant-joan-campello/
C-6,Alicante-aeropuerto,https://alicante.vectalia.es/linea/linea-c-6alicante-aeropuerto/
