Luceros ALACANT,Mercado,MARQ-Castillo,Sangueta,La Isleta,Albufereta,Lucentum,Condomina,Campo de Golf,Costa Blanca,Carrabiners,Muchavista,Les Llances,Fabraquer,Salesians,Pla Barraques,EL CAMPELLO,Poble Espanyol,Amerador,Coveta Fumá,Cala Piteres,Venta Lanuza,Paradís,La Vila Joiosa,Creueta,Costera Pastor,Hospital Vila,Cala Finestrat,Terra Mítica,BENIDORM
07:11,07:13,07:15,07:18,07:22,07:23,07:24,07:26,07:27,07:28,07:30,07:32,07:33,07:34,07:35,07:36,07:37,07:39,07:41,07:43,07:46,07:53,08:02,08:05,08:08,08:10,08:15,08:18,08:20,08:23
07:41,07:43,07:45,07:48,07:52,07:53,07:54,07:56,07:57,07:58,08:00,08:02,08:03,08:04,08:05,08:06,08:07,08:09,08:11,08:13,08:16,08:23,08:32,08:35,08:38,08:40,08:45,08:48,08:50,08:53
08:11,08:13,08:15,08:18,08:22,-,08:24,-,-,-,-,-,-,-,-,-,08:37,08:39,08:41,08:43,08:46,08:53,09:02,09:05,09:08,09:10,09:15,09:18,09:20,09:23
08:41,08:43,08:45,08:48,08:52,-,08:54,-,-,-,-,-,-,-,-,-,09:07,09:09,09:11,09:13,09:16,09:23,09:32,09:35,09:38,09:40,09:45,09:48,09:50,09:53
09:11,09:13,09:15,09:18,09:22,-,09:24,-,-,-,-,-,-,-,-,-,09:37,09:39,09:41,09:43,09:46,09:53,10:02,10:05,10:08,10:10,10:15,10:18,10:20,10:23
09:41,09:43,09:45,09:48,09:52,-,09:54,-,-,-,-,-,-,-,-,-,10:07,10:09,10:11,10:13,10:16,10:23,10:32,10:35,10:38,10:40,10:45,10:48,10:50,10:53
10:11,10:13,10:15,10:18,10:22,-,10:24,-,-,-,-,-,-,-,-,-,10:37,10:39,10:41,10:43,10:46,10:53,11:02,11:05,11:08,11:10,11:15,11:18,11:20,11:23
10:41,10:43,10:45,10:48,10:52,-,10:54,-,-,-,-,-,-,-,-,-,11:07,11:09,11:11,11:13,11:16,11:23,11:32,11:35,11:38,11:40,11:45,11:48,11:50,11:53
11:11,11:13,11:15,11:18,11:22,-,11:24,-,-,-,-,-,-,-,-,-,11:37,11:39,11:41,11:43,11:46,11:53,12:02,12:05,12:08,12:10,12:15,12:18,12:20,12:23
11:41,11:43,11:45,11:48,11:52,-,11:54,-,-,-,-,-,-,-,-,-,12:07,12:09,12:11,12:13,12:16,12:23,12:32,12:35,12:38,12:40,12:45,12:48,12:50,12:53
12:11,12:13,12:15,12:18,12:22,-,12:24,-,-,-,-,-,-,-,-,-,12:37,12:39,12:41,12:43,12:46,12:53,13:02,13:05,13:08,13:10,13:15,13:18,13:20,13:23
12:41,12:43,12:45,12:48,12:52,-,12:54,-,-,-,-,-,-,-,-,-,13:07,13:09,13:11,13:13,13:16,13:23,13:32,13:35,13:38,13:40,13:45,13:48,13:50,13:53
