BENIDORM,Terra Mítica,Cala Finestrat,Hospital Vila,Costera Pastor,Creueta,La Vila Joiosa,Paradís,Venta Lanuza,Cala Piteres,Coveta Fumá,Amerador,Poble Espanyol,EL CAMPELLO,Pla Barraques,Salesians,Fabraquer,Les Llances,Muchavista,Carrabiners,Costa Blanca,Campo de Golf,Condomina,Lucentum,Albufereta,La Isleta,Sangueta,MARQ-Castillo,Mercado,Luceros ALACANT
06:35,06:38,06:40,06:45,06:48,06:51,06:53,06:56,07:07,07:15,07:16,07:18,07:20,07:24,-,-,-,-,-,-,-,-,-,07:38,-,07:40,07:44,07:47,07:49,07:51
07:05,07:08,07:10,07:15,07:18,07:21,07:23,07:26,07:37,07:45,07:46,07:48,07:50,07:54,-,-,-,-,-,-,-,-,-,08:08,-,08:10,08:14,08:17,08:19,08:21
07:35,07:38,07:40,07:45,07:48,07:51,07:53,07:56,08:07,08:15,08:16,08:18,08:20,08:24,-,-,-,-,-,-,-,-,-,08:38,-,08:40,08:44,08:47,08:49,08:51
08:05,08:08,08:10,08:15,08:18,08:21,08:23,08:26,08:37,08:45,08:46,08:48,08:50,08:54,-,-,-,-,-,-,-,-,-,09:08,-,09:10,09:14,09:17,09:19,09:21
08:35,08:38,08:40,08:45,08:48,08:51,08:53,08:56,09:07,09:15,09:16,09:18,09:20,09:24,-,-,-,-,-,-,-,-,-,09:38,-,09:40,09:44,09:47,09:49,09:51
09:05,09:08,09:10,09:15,09:18,09:21,09:23,09:26,09:37,09:45,09:46,09:48,09:50,09:54,-,-,-,-,-,-,-,-,-,10:08,-,10:10,10:14,10:17,10:19,10:21
09:35,09:38,09:40,09:45,09:48,09:51,09:53,09:56,10:07,10:15,10:16,10:18,10:20,10:24,-,-,-,-,-,-,-,-,-,10:38,-,10:40,10:44,10:47,10:49,10:51
10:05,10:08,10:10,10:15,10:18,10:21,10:23,10:26,10:37,10:45,10:46,10:48,10:50,10:54,-,-,-,-,-,-,-,-,-,11:08,-,11:10,11:14,11:17,11:19,11:21
10:35,10:38,10:40,10:45,10:48,10:51,10:53,10:56,11:07,11:15,11:16,11:18,11:20,11:24,-,-,-,-,-,-,-,-,-,11:38,-,11:40,11:44,11:47,11:49,11:51
11:05,11:08,11:10,11:15,11:18,11:21,11:23,11:26,11:37,11:45,11:46,11:48,11:50,11:54,-,-,-,-,-,-,-,-,-,12:08,-,12:10,12:14,12:17,12:19,12:21
11:35,11:38,11:40,11:45,11:48,11:51,11:53,11:56,12:07,12:15,12:16,12:18,12:20,12:24,-,-,-,-,-,-,-,-,-,12:38,-,12:40,12:44,12:47,12:49,12:51
12:05,12:08,12:10,12:15,12:18,12:21,12:23,12:26,12:37,12:45,12:46,12:48,12:50,12:54,-,-,-,-,-,-,-,-,-,13:08,-,13:10,13:14,13:17,13:19,13:21
12:35,12:38,12:40,12:45,12:48,12:51,12:53,12:56,13:07,13:15,13:16,13:18,13:20,13:24,-,-,-,-,-,-,-,-,-,13:38,-,13:40,13:44,13:47,13:49,13:51
13:05,13:08,13:10,13:15,13:18,13:21,13:23,13:26,13:37,13:45,13:46,13:48,13:50,13:54,-,-,-,-,-,-,-,-,-,14:08,-,14:10,14:14,14:17,14:19,14:21
13:35,13:38,13:40,13:45,13:48,13:51,13:53,13:56,14:07,14:15,14:16,14:18,14:20,14:24,-,-,-,-,-,-,-,-,-,14:38,-,14:40,14:44,14:47,14:49,14:51
14:05,14:08,14:10,14:15,14:18,14:21,14:23,14:26,14:37,14:45,14:46,14:48,14:50,14:54,-,-,-,-,-,-,-,-,-,15:08,-,15:10,15:14,15:17,15:19,15:21
