Luceros ALACANT,Mercado,MARQ-Castillo,Sangueta,La Isleta,Albufereta,Lucentum,Miriam Blasco,Sergio Cardell,Tridente,Av. Naciones,Cabo Huertas,Av. Benidorm,Londres,Pl. LA CORUÑA
05:59,06:01,06:03,06:06,06:10,06:11,06:13,06:14,06:16,06:18,06:20,06:22,06:24,06:26,06:28
06:29,06:31,06:33,06:36,06:40,06:41,06:43,06:44,06:46,06:48,06:50,06:52,06:54,06:56,06:58
06:59,07:01,07:03,07:06,07:10,07:11,07:13,07:14,07:16,07:18,07:20,07:22,07:24,07:26,07:28
07:29,07:31,07:33,07:36,07:40,07:41,07:43,07:44,07:46,07:48,07:50,07:52,07:54,07:56,07:58
07:59,08:01,08:03,08:06,08:10,08:11,08:13,08:14,08:16,08:18,08:20,08:22,08:24,08:26,08:28
08:29,08:31,08:33,08:36,08:40,08:41,08:43,08:44,08:46,08:48,08:50,08:52,08:54,08:56,08:58
08:59,09:01,09:03,09:06,09:10,09:11,09:13,09:14,09:16,09:18,09:20,09:22,09:24,09:26,09:28
09:29,09:31,09:33,09:36,09:40,09:41,09:43,09:44,09:46,09:48,09:50,09:52,09:54,09:56,09:58
09:59,10:01,10:03,10:06,10:10,10:11,10:13,10:14,10:16,10:18,10:20,10:22,10:24,10:26,10:28
10:29,10:31,10:33,10:36,10:40,10:41,10:43,10:44,10:46,10:48,10:50,10:52,10:54,10:56,10:58
10:59,11:01,11:03,11:06,11:10,11:11,11:13,11:14,11:16,11:18,11:20,11:22,11:24,11:26,11:28
11:29,11:31,11:33,11:36,11:40,11:41,11:43,11:44,11:46,11:48,11:50,11:52,11:54,11:56,11:58
11:59,12:01,12:03,12:06,12:10,12:11,12:13,12:14,12:16,12:18,12:20,12:22,12:24,12:26,12:28
12:29,12:31,12:33,12:36,12:40,12:41,12:43,12:44,12:46,12:48,12:50,12:52,12:54,12:56,12:58
12:59,13:01,13:03,13:06,13:10,13:11,13:13,13:14,13:16,13:18,13:20,13:22,13:24,13:26,13:28
13:29,13:31,13:33,13:36,13:40,13:41,13:43,13:44,13:46,13:48,13:50,13:52,13:54,13:56,13:58
13:59,14:01,14:03,14:06,14:10,14:11,14:13,14:14,14:16,14:18,14:20,14:22,14:24,14:26,14:28
14:29,14:31,14:33,14:36,14:40,14:41,14:43,14:44,14:46,14:48,14:50,14:52,14:54,14:56,14:58
14:59,15:01,15:03,15:06,15:10,15:11,15:13,15:14,15:16,15:18,15:20,15:22,15:24,15:26,15:28
15:29,15:31,15:33,15:36,15:40,15:41,15:43,15:44,15:46,15:48,15:50,15:52,15:54,15:56,15:58
15:59,16:01,16:03,16:06,16:10,16:11,16:13,16:14,16:16,16:18,16:20,16:22,16:24,16:26,16:28
16:29,16:31,16:33,16:36,16:40,16:41,16:43,16:44,16:46,16:48,16:50,16:52,16:54,16:56,16:58
16:59,17:01,17:03,17:06,17:10,17:11,17:13,17:14,17:16,17:18,17:20,17:22,17:24,17:26,17:28
17:29,17:31,17:33,17:36,17:40,17:41,17:43,17:44,17:46,17:48,17:50,17:52,17:54,17:56,17:58
17:59,18:01,18:03,18:06,18:10,18:11,18:13,18:14,18:16,18:18,18:20,18:22,18:24,18:26,18:28
18:29,18:31,18:33,18:36,18:40,18:41,18:43,18:44,18:46,18:48,18:50,18:52,18:54,18:56,18:58
18:59,19:01,19:03,19:06,19:10,19:11,19:13,19:14,19:16,19:18,19:20,19:22,19:24,19:26,19:28
19:29,19:31,19:33,19:36,19:40,19:41,19:43,19:44,19:46,19:48,19:50,19:52,19:54,19:56,19:58
19:59,20:01,20:03,20:06,20:10,20:11,20:13,20:14,20:16,20:18,20:20,20:22,20:24,20:26,20:28
20:29,20:31,20:33,20:36,20:40,20:41,20:43,20:44,20:46,20:48,20:50,20:52,20:54,20:56,20:58
20:59,21:01,21:03,21:06,21:10,21:11,21:13,21:14,21:16,21:18,21:20,21:22,21:24,21:26,21:28
21:29,21:31,21:33,21:36,21:40,21:41,21:43,21:44,21:46,21:48,21:50,21:52,21:54,21:56,21:58
22:05,22:07,22:09,22:12,22:16,22:17,22:19,22:20,22:22,22:24,22:25,22:27,22:28,22:30,22:32
22:35,22:37,22:39,22:42,22:46,22:47,22:49,22:50,22:52,22:54,22:55,22:57,22:58,23:00,23:02
