Pl. LA CORUÑA,Instituto,Países Escandinavos,Holanda,Av. Naciones,Tridente,Sergio Cardell,Miriam Blasco,Lucentum,Albufereta,La Isleta,Sangueta,MARQ-Castillo,Mercado,Luceros ALACANT
06:30,06:32,06:34,06:35,06:38,06:40,06:42,06:44,06:47,06:49,06:52,06:56,06:59,07:01,07:03
07:00,07:02,07:04,07:05,07:08,07:10,07:12,07:14,07:17,07:19,07:22,07:26,07:29,07:31,07:33
07:30,07:32,07:34,07:35,07:38,07:40,07:42,07:44,07:47,07:49,07:52,07:56,07:59,08:01,08:03
08:00,08:02,08:04,08:05,08:08,08:10,08:12,08:14,08:17,08:19,08:22,08:26,08:29,08:31,08:33
08:30,08:32,08:34,08:35,08:38,08:40,08:42,08:44,08:47,08:49,08:52,08:56,08:59,09:01,09:03
09:00,09:02,09:04,09:05,09:08,09:10,09:12,09:14,09:17,09:19,09:22,09:26,09:29,09:31,09:33
09:30,09:32,09:34,09:35,09:38,09:40,09:42,09:44,09:47,09:49,09:52,09:56,09:59,10:01,10:03
10:00,10:02,10:04,10:05,10:08,10:10,10:12,10:14,10:17,10:19,10:22,10:26,10:29,10:31,10:33
10:30,10:32,10:34,10:35,10:38,10:40,10:42,10:44,10:47,10:49,10:52,10:56,10:59,11:01,11:03
11:00,11:02,11:04,11:05,11:08,11:10,11:12,11:14,11:17,11:19,11:22,11:26,11:29,11:31,11:33
11:30,11:32,11:34,11:35,11:38,11:40,11:42,11:44,11:47,11:49,11:52,11:56,11:59,12:01,12:03
12:00,12:02,12:04,12:05,12:08,12:10,12:12,12:14,12:17,12:19,12:22,12:26,12:29,12:31,12:33
12:30,12:32,12:34,12:35,12:38,12:40,12:42,12:44,12:47,12:49,12:52,12:56,12:59,13:01,13:03
13:00,13:02,13:04,13:05,13:08,13:10,13:12,13:14,13:17,13:19,13:22,13:26,13:29,13:31,13:33
13:30,13:32,13:34,13:35,13:38,13:40,13:42,13:44,13:47,13:49,13:52,13:56,13:59,14:01,14:03
14:00,14:02,14:04,14:05,14:08,14:10,14:12,14:14,14:17,14:19,14:22,14:26,14:29,14:31,14:33
14:30,14:32,14:34,14:35,14:38,14:40,14:42,14:44,14:47,14:49,14:52,14:56,14:59,15:01,15:03
15:00,15:02,15:04,15:05,15:08,15:10,15:12,15:14,15:17,15:19,15:22,15:26,15:29,15:31,15:33
15:30,15:32,15:34,15:35,15:38,15:40,15:42,15:44,15:47,15:49,15:52,15:56,15:59,16:01,16:03
16:00,16:02,16:04,16:05,16:08,16:10,16:12,16:14,16:17,16:19,16:22,16:26,16:29,16:31,16:33
16:30,16:32,16:34,16:35,16:38,16:40,16:42,16:44,16:47,16:49,16:52,16:56,16:59,17:01,17:03
17:00,17:02,17:04,17:05,17:08,17:10,17:12,17:14,17:17,17:19,17:22,17:26,17:29,17:31,17:33
17:30,17:32,17:34,17:35,17:38,17:40,17:42,17:44,17:47,17:49,17:52,17:56,17:59,18:01,18:03
18:00,18:02,18:04,18:05,18:08,18:10,18:12,18:14,18:17,18:19,18:22,18:26,18:29,18:31,18:33
18:30,18:32,18:34,18:35,18:38,18:40,18:42,18:44,18:47,18:49,18:52,18:56,18:59,19:01,19:03
19:00,19:02,19:04,19:05,19:08,19:10,19:12,19:14,19:17,19:19,19:22,19:26,19:29,19:31,19:33
19:30,19:32,19:34,19:35,19:38,19:40,19:42,19:44,19:47,19:49,19:52,19:56,19:59,20:01,20:03
20:00,20:02,20:04,20:05,20:08,20:10,20:12,20:14,20:17,20:19,20:22,20:26,20:29,20:31,20:33
20:30,20:32,20:34,20:35,20:38,20:40,20:42,20:44,20:47,20:49,20:52,20:56,20:59,21:01,21:03
21:00,21:02,21:04,21:05,21:08,21:10,21:12,21:14,21:17,21:19,21:22,21:26,21:29,21:31,21:33
21:30,21:32,21:34,21:35,21:38,21:40,21:42,21:44,21:47,21:49,21:52,21:56,21:59,22:01,22:03
22:00,22:02,22:04,22:05,22:08,22:10,22:12,22:14,22:17,22:19,22:22,22:26,22:29,22:31,22:33
22:32,22:34,22:36,22:37,22:40,22:42,22:44,22:46,22:48,22:50,22:52,22:56,22:59,23:01,23:03
23:02,23:03,23:04,23:05,23:07,23:08,23:10,23:11,23:13,-,-,-,-,-,-
