fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2019-01-01,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"11,6","0,0","3,9",05:25,"19,2",14:31,24,"3,6","8,9",12:33,"8,9","1027,1",Varias,"1024,6",14
2019-01-02,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"11,8","0,0","4,1",01:09,"19,4",12:09,29,"4,4","12,8",06:27,"8,9","1024,9",00,"1020,9",14
2019-01-03,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"10,1","0,1","6,1",01:03,"14,1",15:32,99,"0,8","5,0",Varias,"0,9","1026,9",Varias,"1023,7",00
2019-01-04,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"10,8","0,0","5,8",02:14,"15,9",14:52,99,"3,3","8,3",Varias,"8,8","1028,4",Varias,"1024,7",04
2019-01-05,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"10,3","0,0","5,0",06:20,"15,6",14:40,27,"2,5","7,8",23:55,"8,7","1029,6",Varias,"1023,8",24
2019-01-06,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"12,0","0,0","4,9",23:41,"19,2",13:25,99,"1,4","8,9",Varias,"8,9","1025,4",Varias,"1022,9",05
2019-01-07,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"10,7","0,0","5,4",01:32,"16,0",12:45,99,"2,5","7,2",Varias,"7,6","1026,1",Varias,"1022,9",05
2019-01-08,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"11,1","0,0","6,0",07:15,"16,2",13:27,99,"3,3","7,2",Varias,"8,9","1026,7",Varias,"1017,4",24
2019-01-09,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"12,7","0,0","7,0",21:13,"18,4",14:40,28,"3,6","9,2",11:20,"8,8","1017,4",00,"1010,2",20
2019-01-10,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"8,4","0,0","3,6",22:59,"13,1",13:23,08,"3,3","8,3",14:07,"3,3","1017,7",Varias,"1011,1",00
2019-01-11,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"7,0","0,0","0,8",06:16,"13,2",14:17,99,"3,1","6,7",Varias,"9,0","1023,8",Varias,"1017,6",00
2019-01-12,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"8,4","0,0","2,2",03:08,"14,7",14:13,99,"2,5","5,8",Varias,"8,9","1026,4",Varias,"1023,4",00
2019-01-13,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"10,0","0,0","2,9",03:10,"17,1",13:27,29,"3,3","10,3",08:13,"9,0","1023,9",00,"1018,3",24
2019-01-14,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"13,6","0,0","6,4",00:00,"20,9",11:49,30,"3,6","10,8",09:12,"9,0","1018,4",00,"1014,0",14
2019-01-15,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"11,4","0,0","6,3",06:20,"16,6",10:51,11,"1,9","5,8",Varias,"8,6","1019,2",Varias,"1016,6",04
2019-01-16,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"11,9","0,0","7,5",Varias,"16,3",14:25,99,"3,3","8,3",Varias,"7,8","1017,4",00,"1013,0",17
2019-01-17,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"12,2","0,1","8,6",21:28,"15,9",14:04,99,"3,6","11,4",10:03,"5,3","1015,4",Varias,"1011,7",14
2019-01-18,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"10,8","0,0","6,7",08:03,"15,0",13:14,30,"1,4","6,1",23:41,"7,2","1016,5",Varias,"1013,3",16
2019-01-19,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"12,0","1,8","7,1",03:04,"17,0",14:06,27,"4,7","11,7",09:38,"8,8","1014,1",00,"1008,2",24
2019-01-20,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"11,9","0,7","7,4",06:52,"16,4",10:54,31,"2,8","10,3",11:27,"1,9","1012,2",Varias,"1004,0",06
2019-01-21,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"11,0","0,0","6,1",06:59,"15,8",14:26,30,"3,1","9,7",14:42,"8,2","1015,8",Varias,"1012,0",00
2019-01-22,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,43,"9,6",Ip,"5,6",06:51,"13,7",14:01,29,"6,9","14,4",13:11,"2,1","1015,5",00,"1005,8",24
